Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
0.000000	0.610000	0.000000	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000000
0.010000	0.610000	0.000010	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000167
0.020000	0.610000	0.000021	0.612731	0.610000	0.000001	0.612731	0.000000	0.000000	0.000336
0.030000	0.610000	0.000031	0.612731	0.610000	0.000003	0.612731	0.000000	0.000000	0.000506
0.040000	0.610000	0.000042	0.612731	0.610000	0.000005	0.612731	0.000000	0.000000	0.000678
0.050000	0.610000	0.000052	0.612731	0.610000	0.000008	0.612731	0.000000	0.000000	0.000852
0.060000	0.610000	0.000063	0.612731	0.610000	0.000012	0.612731	0.000000	0.000000	0.001028
0.070000	0.610000	0.000074	0.612731	0.610000	0.000016	0.612731	0.000000	0.000000	0.001205
0.080000	0.610000	0.000085	0.612731	0.610000	0.000021	0.612732	0.000000	0.000000	0.001384
0.090000	0.610000	0.000096	0.612731	0.610000	0.000026	0.612732	0.000000	0.000000	0.001565
0.100000	0.610000	0.000107	0.612731	0.610000	0.000032	0.612732	0.000000	0.000000	0.001748
0.110000	0.610000	0.000118	0.612731	0.610000	0.000038	0.612733	0.000000	0.000000	0.001933
0.120000	0.610000	0.000130	0.612731	0.610000	0.000045	0.612733	0.000000	0.000000	0.002119
0.130000	0.610000	0.000141	0.612731	0.610000	0.000052	0.612733	0.000000	0.000000	0.002307
0.140000	0.610000	0.000153	0.612731	0.610000	0.000060	0.612733	0.000000	0.000000	0.002498
0.150000	0.610000	0.000165	0.612731	0.610000	0.000068	0.612734	0.000000	0.000000	0.002690
0.160000	0.610000	0.000177	0.612731	0.610000	0.000076	0.612734	0.000000	0.000000	0.002884
0.170000	0.610000	0.000189	0.612731	0.610000	0.000085	0.612735	0.000000	0.000000	0.003080
0.180000	0.610000	0.000201	0.612731	0.610000	0.000094	0.612735	0.000000	0.000000	0.003278
0.190000	0.610000	0.000213	0.612731	0.610000	0.000103	0.612735	0.000000	0.000000	0.003478
0.200000	0.610000	0.000225	0.612731	0.610000	0.000112	0.612736	0.000000	0.000000	0.003680
0.210000	0.610000	0.000238	0.612731	0.610000	0.000122	0.612736	0.000000	0.000000	0.003884
0.220000	0.610000	0.000250	0.612731	0.610000	0.000132	0.612736	0.000000	0.000000	0.004090
0.230000	0.610000	0.000263	0.612731	0.610000	0.000142	0.612737	0.000000	0.000000	0.004298
0.240000	0.610000	0.000276	0.612731	0.610000	0.000153	0.612737	0.000000	0.000000	0.004508
0.250000	0.610000	0.000289	0.612731	0.610000	0.000164	0.612738	0.000000	0.000000	0.004720
0.260000	0.610000	0.000302	0.612731	0.610000	0.000175	0.612738	0.000000	0.000000	0.004935
0.270000	0.610000	0.000315	0.612731	0.610000	0.000186	0.612739	0.000000	0.000000	0.005152
0.280000	0.610000	0.000329	0.612731	0.610000	0.000198	0.612739	0.000000	0.000000	0.005370
0.290000	0.610000	0.000342	0.612731	0.610000	0.000209	0.612739	0.000000	0.000000	0.005591
0.300000	0.610000	0.000356	0.612731	0.610000	0.000221	0.612740	0.000000	0.000000	0.005815
0.310000	0.610000	0.000370	0.612731	0.610000	0.000233	0.612740	0.000000	0.000000	0.006040
0.320000	0.610000	0.000384	0.612731	0.610000	0.000245	0.612741	0.000000	0.000000	0.006268
0.330000	0.610000	0.000398	0.612731	0.610000	0.000258	0.612741	0.000000	0.000000	0.006498
0.340000	0.610000	0.000412	0.612731	0.610000	0.000270	0.612742	0.000000	0.000000	0.006730
0.350000	0.610000	0.000426	0.612731	0.610000	0.000283	0.612742	0.000000	0.000000	0.006965
0.360000	0.610000	0.000441	0.612731	0.610000	0.000296	0.612743	0.000000	0.000000	0.007202
0.370000	0.610000	0.000456	0.612731	0.610000	0.000309	0.612743	0.000000	0.000000	0.007441
0.380000	0.610000	0.000470	0.612731	0.610000	0.000322	0.612744	0.000000	0.000000	0.007683
0.390000	0.610000	0.000485	0.612731	0.610000	0.000336	0.612744	0.000000	0.000000	0.007927
0.400000	0.610000	0.000500	0.612731	0.610000	0.000349	0.612745	0.000000	0.000000	0.008174
0.410000	0.610000	0.000516	0.612731	0.610000	0.000363	0.612746	0.000000	0.000000	0.008423
0.420000	0.610000	0.000531	0.612731	0.610000	0.000377	0.612746	0.000000	0.000000	0.008675
0.430000	0.610000	0.000547	0.612731	0.610000	0.000391	0.612747	0.000000	0.000000	0.008929
0.440000	0.610000	0.000562	0.612731	0.610000	0.000405	0.612747	0.000000	0.000000	0.009186
0.450000	0.610000	0.000578	0.612731	0.610000	0.000420	0.612748	0.000000	0.000000	0.009445
0.460000	0.610000	0.000594	0.612731	0.610000	0.000434	0.612748	0.000000	0.000000	0.009707
0.470000	0.610000	0.000611	0.612731	0.610000	0.000449	0.612749	0.000000	0.000000	0.009972
0.480000	0.610000	0.000627	0.612731	0.610000	0.000464	0.612750	0.000000	0.000000	0.010239
0.490000	0.610000	0.000643	0.612731	0.610000	0.000479	0.612750	0.000000	0.000000	0.010509
0.500000	0.610000	0.000660	0.612731	0.610000	0.000494	0.612751	0.000000	0.000000	0.010782
0.510000	0.610000	0.000677	0.612731	0.610000	0.000509	0.612751	0.000000	0.000000	0.011057
0.520000	0.610000	0.000694	0.612731	0.610000	0.000525	0.612752	0.000000	0.000000	0.011335
0.530000	0.610000	0.000711	0.612731	0.610000	0.000540	0.612753	0.000000	0.000000	0.011616
