Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
0.000000	0.610000	0.000000	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000000
0.010000	0.610000	0.000010	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000754
0.020000	0.610000	0.000021	0.612731	0.610000	0.000001	0.612731	0.000000	0.000000	0.001523
0.030000	0.610000	0.000031	0.612731	0.610000	0.000003	0.612731	0.000000	0.000000	0.002307
0.040000	0.610000	0.000042	0.612731	0.610000	0.000005	0.612731	0.000000	0.000000	0.003107
0.050000	0.610000	0.000052	0.612731	0.610000	0.000008	0.612731	0.000000	0.000000	0.003924
0.060000	0.610000	0.000063	0.612731	0.610000	0.000012	0.612732	0.000000	0.000000	0.004757
0.070000	0.610000	0.000074	0.612731	0.610000	0.000016	0.612732	0.000000	0.000000	0.005607
0.080000	0.610000	0.000085	0.612731	0.610000	0.000021	0.612733	0.000000	0.000000	0.006474
0.090000	0.610000	0.000096	0.612731	0.610000	0.000026	0.612733	0.000000	0.000000	0.007358
0.100000	0.610000	0.000107	0.612731	0.610000	0.000032	0.612734	0.000000	0.000000	0.008261
0.110000	0.610000	0.000118	0.612731	0.610000	0.000039	0.612735	0.000000	0.000000	0.009181
0.120000	0.610000	0.000130	0.612731	0.610000	0.000045	0.612736	0.000000	0.000000	0.010120
0.130000	0.610000	0.000141	0.612731	0.610000	0.000052	0.612737	0.000000	0.000000	0.011078
0.140000	0.610000	0.000153	0.612731	0.610000	0.000060	0.612738	0.000000	0.000000	0.012056
0.150000	0.610000	0.000165	0.612731	0.610000	0.000068	0.612740	0.000000	0.000000	0.013053
0.160000	0.610000	0.000177	0.612731	0.610000	0.000076	0.612741	0.000000	0.000000	0.014071
0.170000	0.610000	0.000189	0.612731	0.610000	0.000085	0.612743	0.000000	0.000000	0.015109
0.180000	0.610000	0.000201	0.612731	0.610000	0.000094	0.612744	0.000000	0.000000	0.016168
0.190000	0.610000	0.000213	0.612731	0.610000	0.000103	0.612746	0.000000	0.000000	0.017248
0.200000	0.610000	0.000225	0.612731	0.610001	0.000113	0.612748	0.000000	0.000000	0.018350
0.210000	0.610000	0.000238	0.612731	0.610001	0.000122	0.612750	0.000000	0.000000	0.019474
0.220000	0.610000	0.000250	0.612731	0.610001	0.000132	0.612752	0.000000	0.000000	0.020622
0.230000	0.610000	0.000263	0.612731	0.610001	0.000143	0.612754	0.000000	0.000000	0.021792
0.240000	0.610000	0.000276	0.612731	0.610001	0.000153	0.612756	0.000000	0.000000	0.022986
0.250000	0.610000	0.000289	0.612731	0.610001	0.000164	0.612759	0.000000	0.000000	0.024204
0.260000	0.610000	0.000302	0.612731	0.610001	0.000175	0.612761	0.000000	0.000000	0.025447
0.270000	0.610000	0.000315	0.612731	0.610001	0.000186	0.612764	0.000000	0.000000	0.026714
0.280000	0.610000	0.000329	0.612731	0.610001	0.000198	0.612766	0.000000	0.000000	0.028008
0.290000	0.610000	0.000342	0.612731	0.610001	0.000210	0.612769	0.000000	0.000000	0.029327
0.300000	0.610000	0.000356	0.612731	0.610001	0.000221	0.612772	0.000000	0.000000	0.030673
0.310000	0.610000	0.000370	0.612731	0.610001	0.000233	0.612774	0.000000	0.000000	0.032047
0.320000	0.610000	0.000384	0.612731	0.610001	0.000246	0.612777	0.000000	0.000000	0.033448
0.330000	0.610000	0.000398	0.612731	0.610001	0.000258	0.612780	0.000000	0.000000	0.034877
0.340000	0.610000	0.000412	0.612731	0.610001	0.000271	0.612783	0.000000	0.000000	0.036335
0.350000	0.610000	0.000426	0.612731	0.610001	0.000283	0.612786	0.000000	0.000000	0.037823
0.360000	0.610000	0.000441	0.612731	0.610001	0.000296	0.612790	0.000000	0.000000	0.039341
0.370000	0.610000	0.000456	0.612731	0.610001	0.000309	0.612793	0.000000	0.000000	0.040889
0.380000	0.610000	0.000470	0.612731	0.610001	0.000323	0.612796	0.000000	0.000000	0.042469
0.390000	0.610000	0.000485	0.612731	0.610001	0.000336	0.612800	0.000000	0.000000	0.044081
0.400000	0.610000	0.000500	0.612731	0.610001	0.000350	0.612803	0.000000	0.000000	0.045725
0.410000	0.610000	0.000516	0.612731	0.610001	0.000363	0.612807	0.000000	0.000000	0.047402
0.420000	0.610000	0.000531	0.612731	0.610001	0.000377	0.612810	0.000000	0.000000	0.049114
0.430000	0.610000	0.000547	0.612731	0.610001	0.000391	0.612814	0.000000	0.000000	0.050860
0.440000	0.610000	0.000562	0.612731	0.610001	0.000405	0.612817	0.000000	0.000000	0.052641
0.450000	0.610000	0.000578	0.612731	0.610002	0.000420	0.612821	0.000000	0.000000	0.054458
0.460000	0.610000	0.000594	0.612731	0.610002	0.000434	0.612825	0.000000	0.000000	0.056312
0.470000	0.610000	0.000611	0.612731	0.610002	0.000449	0.612829	0.000000	0.000000	0.058203
0.480000	0.610000	0.000627	0.612731	0.610002	0.000464	0.612833	0.000000	0.000000	0.060133
0.490000	0.610000	0.000643	0.612731	0.610002	0.000479	0.612837	0.000000	0.000000	0.062101
0.500000	0.610000	0.000660	0.612731	0.610002	0.000494	0.612841	0.000000	0.000000	0.064109
0.510000	0.610000	0.000677	0.612731	0.610002	0.000509	0.612845	0.000000	0.000000	0.066158
0.520000	0.610000	0.000694	0.612731	0.610002	0.000525	0.612850	0.000000	0.000000	0.068248
0.530000	0.610000	0.000711	0.612731	0.610002	0.000540	0.612854	0.000000	0.000000	0.070381
0.540000	0.610000	0.000729	0.612731	0.610002	0.000556	0.612858	0.000000	0.000000	0.072556
0.550000	0.610000	0.000746	0.612731	0.610002	0.000572	0.612863	0.000000	0.000000	0.074776
0.560000	0.610000	0.000764	0.612731	0.610002	0.000588	0.612868	0.000000	0.000000	0.077040
0.570000	0.610000	0.000782	0.612731	0.610002	0.000605	0.612872	0.000000	0.000000	0.079350
0.580000	0.610000	0.000800	0.612731	0.610002	0.000621	0.612877	0.000000	0.000000	0.081707
0.590000	0.610000	0.000818	0.612731	0.610002	0.000638	0.612882	0.000000	0.000000	0.084111
0.600000	0.610000	0.000837	0.612731	0.610002	0.000654	0.612887	0.000000	0.000000	0.086564
0.610000	0.610000	0.000855	0.612731	0.610002	0.000671	0.612892	0.000000	0.000000	0.089066
0.620000	0.610000	0.000874	0.612731	0.610002	0.000688	0.612897	0.000000	0.000000	0.091619
0.630000	0.610000	0.000893	0.612731	0.610002	0.000706	0.612902	0.000000	0.000000	0.094224
0.640000	0.610000	0.000912	0.612731	0.610002	0.000723	0.612908	0.000000	0.000000	0.096881
0.650000	0.610000	0.000932	0.612731	0.610002	0.000741	0.612913	0.000000	0.000000	0.099592
0.660000	0.610000	0.000951	0.612731	0.610002	0.000758	0.612919	0.000000	0.000000	0.102357
0.670000	0.610000	0.000971	0.612731	0.610002	0.000776	0.612924	0.000000	0.000000	0.105179
0.680000	0.610000	0.000991	0.612731	0.610002	0.000795	0.612930	0.000000	0.000000	0.108057
0.690000	0.610000	0.001011	0.612731	0.610002	0.000813	0.612936	0.000000	0.000000	0.110994
0.700000	0.610000	0.001032	0.612731	0.610002	0.000831	0.612942	0.000000	0.000000	0.113990
0.710000	0.610000	0.001052	0.612731	0.610002	0.000850	0.612948	0.000000	0.000000	0.117046
0.720000	0.610000	0.001073	0.612731	0.610002	0.000869	0.612955	0.000000	0.000000	0.120164
0.730000	0.610000	0.001094	0.612731	0.610002	0.000888	0.612961	0.000000	0.000000	0.123346
0.740000	0.610000	0.001115	0.612731	0.610002	0.000907	0.612967	0.000000	0.000000	0.126591
0.750000	0.610000	0.001137	0.612731	0.610002	0.000927	0.612974	0.000000	0.000000	0.129902
0.760000	0.610000	0.001158	0.612731	0.610002	0.000946	0.612981	0.000000	0.000000	0.133280
0.770000	0.610000	0.001180	0.612731	0.610002	0.000966	0.612988	0.000000	0.000000	0.136726
0.780000	0.610000	0.001202	0.612731	0.610003	0.000986	0.612995	0.000000	0.000000	0.140242
0.790000	0.610000	0.001225	0.612731	0.610003	0.001006	0.613002	0.000000	0.000000	0.143829
0.800000	0.610000	0.001247	0.612731	0.610003	0.001027	0.613009	0.000000	0.000000	0.147488
0.810000	0.610000	0.001270	0.612731	0.610003	0.001047	0.613017	0.000000	0.000000	0.151221
0.820000	0.610000	0.001293	0.612731	0.610003	0.001068	0.613025	0.000000	0.000000	0.155030
0.830000	0.610000	0.001316	0.612731	0.610003	0.001089	0.613032	0.000000	0.000000	0.158915
0.840000	0.610000	0.001339	0.612731	0.610003	0.001110	0.613040	0.000000	0.000000	0.162879
0.850000	0.610000	0.001363	0.612731	0.610003	0.001132	0.613048	0.000000	0.000000	0.166923
0.860000	0.610000	0.001387	0.612731	0.610003	0.001154	0.613057	0.000000	0.000000	0.171049
0.870000	0.610000	0.001411	0.612731	0.610003	0.001175	0.613065	0.000000	0.000000	0.175258
0.880000	0.610000	0.001436	0.612731	0.610003	0.001198	0.613074	0.000000	0.000000	0.179553
0.890000	0.610000	0.001460	0.612731	0.610003	0.001220	0.613083	0.000000	0.000000	0.183933
0.900000	0.610000	0.001485	0.612731	0.610003	0.001242	0.613092	0.000000	0.000000	0.188403
0.910000	0.610000	0.001510	0.612731	0.610003	0.001265	0.613101	0.000000	0.000000	0.192963
0.920000	0.610000	0.001536	0.612731	0.610003	0.001288	0.613110	0.000000	0.000000	0.197614
0.930000	0.610000	0.001561	0.612731	0.610003	0.001311	0.613120	0.000000	0.000000	0.202360
