Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
0.000000	0.610000	0.000000	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000000
0.010000	0.610000	0.000001	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000288
0.020000	0.610000	0.000006	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.001153
0.030000	0.610000	0.000013	0.612731	0.610000	0.000001	0.612731	0.000000	0.000000	0.002593
0.040000	0.610000	0.000024	0.612731	0.610000	0.000002	0.612731	0.000000	0.000000	0.004610
0.050000	0.610000	0.000037	0.612731	0.610000	0.000004	0.612731	0.000000	0.000000	0.007202
0.060000	0.610000	0.000053	0.612731	0.610000	0.000007	0.612732	0.000000	0.000000	0.010370
0.070000	0.610000	0.000073	0.612731	0.610000	0.000011	0.612732	0.000000	0.000000	0.014112
0.080000	0.610000	0.000095	0.612731	0.610000	0.000016	0.612733	0.000000	0.000000	0.018429
0.090000	0.610000	0.000120	0.612731	0.610000	0.000023	0.612735	0.000000	0.000000	0.023319
0.100000	0.610000	0.000148	0.612731	0.610000	0.000031	0.612737	0.000000	0.000000	0.028781
0.110000	0.610000	0.000179	0.612731	0.610000	0.000041	0.612739	0.000000	0.000000	0.034816
0.120000	0.610000	0.000213	0.612731	0.610000	0.000053	0.612742	0.000000	0.000000	0.041421
0.130000	0.610000	0.000250	0.612731	0.610000	0.000067	0.612746	0.000000	0.000000	0.048596
0.140000	0.610000	0.000290	0.612731	0.610001	0.000082	0.612751	0.000000	0.000000	0.056340
0.150000	0.610000	0.000333	0.612731	0.610001	0.000100	0.612756	0.000000	0.000000	0.064652
0.160000	0.610000	0.000379	0.612731	0.610001	0.000120	0.612762	0.000000	0.000000	0.073529
0.170000	0.610000	0.000427	0.612731	0.610001	0.000142	0.612770	0.000000	0.000000	0.082971
0.180000	0.610000	0.000479	0.612731	0.610002	0.000167	0.612778	0.000000	0.000000	0.092977
0.190000	0.610000	0.000534	0.612731	0.610002	0.000194	0.612787	0.000000	0.000000	0.103544
0.200000	0.610000	0.000591	0.612731	0.610002	0.000223	0.612798	0.000000	0.000000	0.114671
0.210000	0.610000	0.000652	0.612731	0.610002	0.000255	0.612810	0.000000	0.000000	0.126357
0.220000	0.610000	0.000715	0.612731	0.610003	0.000289	0.612823	0.000000	0.000000	0.138599
0.230000	0.610000	0.000782	0.612731	0.610003	0.000326	0.612837	0.000000	0.000000	0.151395
0.240000	0.610000	0.000851	0.612731	0.610004	0.000365	0.612853	0.000000	0.000000	0.164744
0.250000	0.610000	0.000923	0.612731	0.610004	0.000407	0.612870	0.000000	0.000000	0.178644
0.260000	0.610000	0.000999	0.612731	0.610005	0.000452	0.612888	0.000000	0.000000	0.193091
0.270000	0.610000	0.001077	0.612731	0.610005	0.000500	0.612908	0.000000	0.000000	0.208085
0.280000	0.610000	0.001158	0.612731	0.610006	0.000550	0.612930	0.000000	0.000000	0.223621
0.290000	0.610000	0.001242	0.612731	0.610006	0.000603	0.612953	0.000000	0.000000	0.239699
0.300000	0.610000	0.001328	0.612731	0.610007	0.000658	0.612977	0.000000	0.000000	0.256316
0.310000	0.610000	0.001418	0.612731	0.610008	0.000717	0.613003	0.000000	0.000000	0.273468
0.320000	0.610000	0.001511	0.612731	0.610008	0.000778	0.613031	0.000000	0.000000	0.291154
0.330000	0.610000	0.001606	0.612731	0.610009	0.000842	0.613060	0.000000	0.000000	0.309370
0.340000	0.610000	0.001705	0.612731	0.610010	0.000909	0.613091	0.000000	0.000000	0.328113
0.350000	0.610000	0.001806	0.612731	0.610010	0.000979	0.613123	0.000000	0.000000	0.347381
0.360000	0.610000	0.001910	0.612731	0.610011	0.001052	0.613157	0.000000	0.000000	0.367171
0.370000	0.610000	0.002018	0.612731	0.610012	0.001128	0.613192	0.000000	0.000000	0.387479
0.380000	0.610000	0.002128	0.612731	0.610012	0.001206	0.613229	0.000000	0.000000	0.408302
0.390000	0.610000	0.002241	0.612731	0.610013	0.001287	0.613267	0.000000	0.000000	0.429637
0.400000	0.610000	0.002356	0.612731	0.610014	0.001372	0.613307	0.000000	0.000000	0.451481
0.410000	0.610000	0.002475	0.612731	0.610015	0.001459	0.613349	0.000000	0.000000	0.473829
0.420000	0.610000	0.002596	0.612731	0.610015	0.001549	0.613392	0.000000	0.000000	0.496680
0.430000	0.610000	0.002721	0.612731	0.610016	0.001642	0.613436	0.000000	0.000000	0.520028
0.440000	0.610000	0.002848	0.612731	0.610017	0.001738	0.613482	0.000000	0.000000	0.543870
0.450000	0.610000	0.002978	0.612731	0.610017	0.001836	0.613530	0.000000	0.000000	0.568203
0.460000	0.610000	0.003111	0.612731	0.610018	0.001938	0.613579	0.000000	0.000000	0.593023
0.470000	0.610000	0.003247	0.612731	0.610019	0.002043	0.613629	0.000000	0.000000	0.618325
0.480000	0.610000	0.003385	0.612731	0.610020	0.002150	0.613681	0.000000	0.000000	0.644106
0.490000	0.610000	0.003527	0.612731	0.610020	0.002260	0.613734	0.000000	0.000000	0.670362
0.500000	0.610000	0.003671	0.612731	0.610021	0.002374	0.613789	0.000000	0.000000	0.697088
0.510000	0.610000	0.003818	0.612731	0.610021	0.002490	0.613845	0.000000	0.000000	0.724281
0.520000	0.610000	0.003968	0.612731	0.610022	0.002609	0.613902	0.000000	0.000000	0.751935
0.530000	0.610000	0.004120	0.612731	0.610023	0.002731	0.613961	0.000000	0.000000	0.780047
0.540000	0.610000	0.004276	0.612731	0.610023	0.002856	0.614021	0.000000	0.000000	0.808613
0.550000	0.610000	0.004434	0.612731	0.610024	0.002983	0.614082	0.000000	0.000000	0.837627
0.560000	0.610000	0.004595	0.612731	0.610024	0.003114	0.614144	0.000000	0.000000	0.867085
0.570000	0.610000	0.004759	0.612731	0.610025	0.003247	0.614208	0.000000	0.000000	0.896982
0.580000	0.610000	0.004925	0.612731	0.610025	0.003384	0.614273	0.000000	0.000000	0.927315
0.590000	0.610000	0.005095	0.612731	0.610026	0.003523	0.614340	0.000000	0.000000	0.958077
0.600000	0.610000	0.005267	0.612731	0.610026	0.003665	0.614407	0.000000	0.000000	0.989265
0.610000	0.610000	0.005442	0.612731	0.610027	0.003810	0.614476	0.000000	0.000000	1.020872
0.620000	0.610000	0.005619	0.612731	0.610027	0.003958	0.614545	0.000000	0.000000	1.052895
0.630000	0.610000	0.005800	0.612731	0.610028	0.004108	0.614616	0.000000	0.000000	1.085328
0.640000	0.610000	0.005983	0.612731	0.610028	0.004261	0.614689	0.000000	0.000000	1.118165
0.650000	0.610000	0.006168	0.612731	0.610028	0.004418	0.614762	0.000000	0.000000	1.151403
