Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
0.000000	0.610000	0.001004	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.056220
0.010000	0.610000	0.001024	0.612731	0.610000	0.000098	0.612737	0.000000	0.000000	0.057729
0.020000	0.610000	0.001045	0.612731	0.610000	0.000167	0.612743	0.000000	0.000000	0.059278
0.030000	0.610000	0.001066	0.612731	0.610001	0.000239	0.612749	0.000000	0.000000	0.060868
0.040000	0.610000	0.001087	0.612731	0.610001	0.000306	0.612756	0.000000	0.000000	0.062501
0.050000	0.610000	0.001109	0.612731	0.610001	0.000370	0.612763	0.000000	0.000000	0.064177
0.060000	0.610000	0.001131	0.612731	0.610001	0.000432	0.612771	0.000000	0.000000	0.065898
0.070000	0.610000	0.001154	0.612731	0.610002	0.000490	0.612779	0.000000	0.000000	0.067665
0.080000	0.610000	0.001177	0.612731	0.610002	0.000547	0.612787	0.000000	0.000000	0.069478
0.090000	0.610000	0.001200	0.612731	0.610002	0.000601	0.612795	0.000000	0.000000	0.071340
0.100000	0.610000	0.001224	0.612731	0.610002	0.000653	0.612803	0.000000	0.000000	0.073251
0.110000	0.610000	0.001249	0.612731	0.610002	0.000703	0.612812	0.000000	0.000000	0.075213
0.120000	0.610000	0.001274	0.612731	0.610003	0.000751	0.612820	0.000000	0.000000	0.077227
0.130000	0.610000	0.001299	0.612731	0.610003	0.000798	0.612829	0.000000	0.000000	0.079295
0.140000	0.610000	0.001325	0.612731	0.610003	0.000843	0.612837	0.000000	0.000000	0.081417
0.150000	0.610000	0.001352	0.612731	0.610003	0.000887	0.612846	0.000000	0.000000	0.083595
0.160000	0.610000	0.001379	0.612731	0.610003	0.000929	0.612854	0.000000	0.000000	0.085831
0.170000	0.610000	0.001407	0.612731	0.610003	0.000971	0.612863	0.000000	0.000000	0.088127
0.180000	0.610000	0.001435	0.612731	0.610003	0.001011	0.612871	0.000000	0.000000	0.090483
0.190000	0.610000	0.001463	0.612731	0.610003	0.001051	0.612880	0.000000	0.000000	0.092901
0.200000	0.610000	0.001493	0.612731	0.610003	0.001089	0.612888	0.000000	0.000000	0.095383
0.210000	0.610000	0.001523	0.612731	0.610004	0.001127	0.612896	0.000000	0.000000	0.097931
0.220000	0.610000	0.001553	0.612731	0.610004	0.001165	0.612904	0.000000	0.000000	0.100546
0.230000	0.610000	0.001584	0.612731	0.610004	0.001202	0.612912	0.000000	0.000000	0.103230
0.240000	0.610000	0.001616	0.612731	0.610004	0.001238	0.612920	0.000000	0.000000	0.105984
0.250000	0.610000	0.001648	0.612731	0.610004	0.001274	0.612928	0.000000	0.000000	0.108811
0.260000	0.610000	0.001681	0.612731	0.610004	0.001310	0.612936	0.000000	0.000000	0.111713
0.270000	0.610000	0.001715	0.612731	0.610004	0.001345	0.612943	0.000000	0.000000	0.114691
0.280000	0.610000	0.001749	0.612731	0.610004	0.001381	0.612951	0.000000	0.000000	0.117747
0.290000	0.610000	0.001784	0.612731	0.610004	0.001416	0.612959	0.000000	0.000000	0.120883
0.300000	0.610000	0.001819	0.612731	0.610003	0.001451	0.612966	0.000000	0.000000	0.124102
0.310000	0.610000	0.001856	0.612731	0.610003	0.001487	0.612974	0.000000	0.000000	0.127405
0.320000	0.610000	0.001893	0.612731	0.610003	0.001522	0.612981	0.000000	0.000000	0.130794
0.330000	0.610000	0.001930	0.612731	0.610003	0.001558	0.612989	0.000000	0.000000	0.134273
0.340000	0.610000	0.001969	0.612731	0.610003	0.001593	0.612996	0.000000	0.000000	0.137842
0.350000	0.610000	0.002008	0.612731	0.610003	0.001630	0.613004	0.000000	0.000000	0.141504
0.360000	0.610000	0.002048	0.612731	0.610003	0.001666	0.613011	0.000000	0.000000	0.145263
0.370000	0.610000	0.002089	0.612731	0.610003	0.001702	0.613019	0.000000	0.000000	0.149119
0.380000	0.610000	0.002130	0.612731	0.610003	0.001739	0.613027	0.000000	0.000000	0.153075
0.390000	0.610000	0.002173	0.612731	0.610003	0.001777	0.613034	0.000000	0.000000	0.157135
0.400000	0.610000	0.002216	0.612731	0.610003	0.001814	0.613042	0.000000	0.000000	0.161300
0.410000	0.610000	0.002260	0.612731	0.610003	0.001853	0.613050	0.000000	0.000000	0.165573
0.420000	0.610000	0.002305	0.612731	0.610003	0.001891	0.613059	0.000000	0.000000	0.169957
0.430000	0.610000	0.002351	0.612731	0.610003	0.001931	0.613067	0.000000	0.000000	0.174455
