Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
0.000000	0.610000	0.000000	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000000
0.010000	0.610000	0.000001	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000217
0.020000	0.610000	0.000006	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000868
0.030000	0.610000	0.000013	0.612731	0.610000	0.000001	0.612731	0.000000	0.000000	0.001954
0.040000	0.610000	0.000024	0.612731	0.610000	0.000002	0.612731	0.000000	0.000000	0.003473
0.050000	0.610000	0.000037	0.612731	0.610000	0.000004	0.612731	0.000000	0.000000	0.005426
0.060000	0.610000	0.000053	0.612731	0.610000	0.000007	0.612731	0.000000	0.000000	0.007813
0.070000	0.610000	0.000073	0.612731	0.610000	0.000011	0.612732	0.000000	0.000000	0.010633
0.080000	0.610000	0.000095	0.612731	0.610000	0.000016	0.612733	0.000000	0.000000	0.013885
0.090000	0.610000	0.000120	0.612731	0.610000	0.000023	0.612734	0.000000	0.000000	0.017569
0.100000	0.610000	0.000148	0.612731	0.610000	0.000031	0.612736	0.000000	0.000000	0.021685
0.110000	0.610000	0.000179	0.612731	0.610000	0.000041	0.612738	0.000000	0.000000	0.026231
0.120000	0.610000	0.000213	0.612731	0.610000	0.000053	0.612740	0.000000	0.000000	0.031208
0.130000	0.610000	0.000250	0.612731	0.610000	0.000066	0.612743	0.000000	0.000000	0.036614
0.140000	0.610000	0.000290	0.612731	0.610000	0.000082	0.612746	0.000000	0.000000	0.042448
0.150000	0.610000	0.000333	0.612731	0.610001	0.000100	0.612750	0.000000	0.000000	0.048710
0.160000	0.610000	0.000379	0.612731	0.610001	0.000120	0.612755	0.000000	0.000000	0.055399
0.170000	0.610000	0.000427	0.612731	0.610001	0.000142	0.612761	0.000000	0.000000	0.062513
0.180000	0.610000	0.000479	0.612731	0.610001	0.000166	0.612767	0.000000	0.000000	0.070051
0.190000	0.610000	0.000534	0.612731	0.610001	0.000193	0.612774	0.000000	0.000000	0.078013
0.200000	0.610000	0.000591	0.612731	0.610002	0.000222	0.612782	0.000000	0.000000	0.086396
0.210000	0.610000	0.000652	0.612731	0.610002	0.000254	0.612791	0.000000	0.000000	0.095200
0.220000	0.610000	0.000715	0.612731	0.610002	0.000288	0.612801	0.000000	0.000000	0.104424
0.230000	0.610000	0.000782	0.612731	0.610003	0.000325	0.612812	0.000000	0.000000	0.114065
0.240000	0.610000	0.000851	0.612731	0.610003	0.000364	0.612824	0.000000	0.000000	0.124123
0.250000	0.610000	0.000923	0.612731	0.610003	0.000406	0.612837	0.000000	0.000000	0.134595
0.260000	0.610000	0.000999	0.612731	0.610004	0.000451	0.612851	0.000000	0.000000	0.145480
0.270000	0.610000	0.001077	0.612731	0.610004	0.000499	0.612866	0.000000	0.000000	0.156776
0.280000	0.610000	0.001158	0.612731	0.610004	0.000549	0.612883	0.000000	0.000000	0.168482
0.290000	0.610000	0.001242	0.612731	0.610005	0.000602	0.612900	0.000000	0.000000	0.180595
0.300000	0.610000	0.001328	0.612731	0.610005	0.000657	0.612919	0.000000	0.000000	0.193115
0.310000	0.610000	0.001418	0.612731	0.610006	0.000716	0.612938	0.000000	0.000000	0.206038
0.320000	0.610000	0.001511	0.612731	0.610006	0.000777	0.612959	0.000000	0.000000	0.219362
0.330000	0.610000	0.001606	0.612731	0.610007	0.000841	0.612981	0.000000	0.000000	0.233087
0.340000	0.610000	0.001705	0.612731	0.610007	0.000908	0.613004	0.000000	0.000000	0.247209
0.350000	0.610000	0.001806	0.612731	0.610008	0.000978	0.613029	0.000000	0.000000	0.261726
0.360000	0.610000	0.001910	0.612731	0.610008	0.001051	0.613054	0.000000	0.000000	0.276636
0.370000	0.610000	0.002018	0.612731	0.610009	0.001126	0.613081	0.000000	0.000000	0.291936
0.380000	0.610000	0.002128	0.612731	0.610009	0.001205	0.613109	0.000000	0.000000	0.307625
0.390000	0.610000	0.002241	0.612731	0.610010	0.001286	0.613138	0.000000	0.000000	0.323699
0.400000	0.610000	0.002356	0.612731	0.610010	0.001370	0.613168	0.000000	0.000000	0.340157
0.410000	0.610000	0.002475	0.612731	0.610011	0.001458	0.613200	0.000000	0.000000	0.356995
0.420000	0.610000	0.002596	0.612731	0.610011	0.001548	0.613232	0.000000	0.000000	0.374211
0.430000	0.610000	0.002721	0.612731	0.610012	0.001641	0.613266	0.000000	0.000000	0.391802
0.440000	0.610000	0.002848	0.612731	0.610012	0.001736	0.613300	0.000000	0.000000	0.409765
0.450000	0.610000	0.002978	0.612731	0.610013	0.001835	0.613336	0.000000	0.000000	0.428098
0.460000	0.610000	0.003111	0.612731	0.610013	0.001937	0.613373	0.000000	0.000000	0.446798
0.470000	0.610000	0.003247	0.612731	0.610014	0.002041	0.613411	0.000000	0.000000	0.465861
0.480000	0.610000	0.003385	0.612731	0.610014	0.002149	0.613450	0.000000	0.000000	0.485285
0.490000	0.610000	0.003527	0.612731	0.610015	0.002259	0.613490	0.000000	0.000000	0.505067
0.500000	0.610000	0.003671	0.612731	0.610015	0.002372	0.613531	0.000000	0.000000	0.525203
0.510000	0.610000	0.003818	0.612731	0.610016	0.002489	0.613574	0.000000	0.000000	0.545691
0.520000	0.610000	0.003968	0.612731	0.610016	0.002608	0.613617	0.000000	0.000000	0.566526
0.530000	0.610000	0.004120	0.612731	0.610017	0.002730	0.613661	0.000000	0.000000	0.587707
0.540000	0.610000	0.004276	0.612731	0.610017	0.002854	0.613706	0.000000	0.000000	0.609229
0.550000	0.610000	0.004434	0.612731	0.610018	0.002982	0.613752	0.000000	0.000000	0.631089
0.560000	0.610000	0.004595	0.612731	0.610018	0.003113	0.613800	0.000000	0.000000	0.653283
0.570000	0.610000	0.004759	0.612731	0.610018	0.003246	0.613848	0.000000	0.000000	0.675809
0.580000	0.610000	0.004925	0.612731	0.610019	0.003383	0.613897	0.000000	0.000000	0.698662
0.590000	0.610000	0.005095	0.612731	0.610019	0.003522	0.613947	0.000000	0.000000	0.721839
0.600000	0.610000	0.005267	0.612731	0.610019	0.003664	0.613997	0.000000	0.000000	0.745336
0.610000	0.610000	0.005442	0.612731	0.610020	0.003809	0.614049	0.000000	0.000000	0.769150
0.620000	0.610000	0.005619	0.612731	0.610020	0.003956	0.614102	0.000000	0.000000	0.793277
0.630000	0.610000	0.005800	0.612731	0.610020	0.004107	0.614155	0.000000	0.000000	0.817713
0.640000	0.610000	0.005983	0.612731	0.610020	0.004260	0.614210	0.000000	0.000000	0.842453
0.650000	0.610000	0.006168	0.612731	0.610021	0.004417	0.614265	0.000000	0.000000	0.867495
0.660000	0.610000	0.006357	0.612731	0.610021	0.004576	0.614321	0.000000	0.000000	0.892835
0.670000	0.610000	0.006548	0.612731	0.610021	0.004738	0.614378	0.000000	0.000000	0.918467
0.680000	0.610000	0.006742	0.612731	0.610021	0.004902	0.614436	0.000000	0.000000	0.944389
0.690000	0.610000	0.006939	0.612731	0.610021	0.005070	0.614494	0.000000	0.000000	0.970596
0.700000	0.610000	0.007138	0.612731	0.610022	0.005240	0.614554	0.000000	0.000000	0.997084
0.710000	0.610000	0.007340	0.612731	0.610022	0.005413	0.614614	0.000000	0.000000	1.023849
0.720000	0.610000	0.007545	0.612731	0.610022	0.005589	0.614675	0.000000	0.000000	1.050886
0.730000	0.610000	0.007752	0.612731	0.610022	0.005767	0.614737	0.000000	0.000000	1.078192
0.740000	0.610000	0.007962	0.612731	0.610022	0.005949	0.614799	0.000000	0.000000	1.105761
0.750000	0.610000	0.008175	0.612731	0.610022	0.006133	0.614862	0.000000	0.000000	1.133591
0.760000	0.610000	0.008390	0.612731	0.610022	0.006320	0.614926	0.000000	0.000000	1.161675
0.770000	0.610000	0.008608	0.612731	0.610022	0.006509	0.614991	0.000000	0.000000	1.190010
0.780000	0.610000	0.008828	0.612731	0.610022	0.006702	0.615056	0.000000	0.000000	1.218592
0.790000	0.610000	0.009051	0.612731	0.610022	0.006897	0.615122	0.000000	0.000000	1.247416
0.800000	0.610000	0.009277	0.612731	0.610022	0.007094	0.615189	0.000000	0.000000	1.276476
0.810000	0.610000	0.009505	0.612731	0.610022	0.007295	0.615257	0.000000	0.000000	1.305770
0.820000	0.610000	0.009736	0.612731	0.610022	0.007498	0.615325	0.000000	0.000000	1.335291
0.830000	0.610000	0.009970	0.612731	0.610022	0.007704	0.615394	0.000000	0.000000	1.365036
0.840000	0.610000	0.010206	0.612731	0.610022	0.007912	0.615463	0.000000	0.000000	1.395000
0.850000	0.610000	0.010444	0.612731	0.610022	0.008123	0.615534	0.000000	0.000000	1.425177
0.860000	0.610000	0.010686	0.612731	0.610022	0.008337	0.615604	0.000000	0.000000	1.455564
0.870000	0.610000	0.010929	0.612731	0.610022	0.008554	0.615676	0.000000	0.000000	1.486155
0.880000	0.610000	0.011175	0.612731	0.610022	0.008773	0.615748	0.000000	0.000000	1.516946
0.890000	0.610000	0.011424	0.612731	0.610021	0.008994	0.615821	0.000000	0.000000	1.547932
0.900000	0.610000	0.011675	0.612731	0.610021	0.009219	0.615894	0.000000	0.000000	1.579107
0.910000	0.610000	0.011929	0.612731	0.610021	0.009446	0.615968	0.000000	0.000000	1.610467
