Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
0.000000	0.610000	0.000000	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000000
0.010000	0.610000	0.000001	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.000395
0.020000	0.610000	0.000006	0.612731	0.610000	0.000000	0.612731	0.000000	0.000000	0.001579
0.030000	0.610000	0.000013	0.612731	0.610000	0.000001	0.612731	0.000000	0.000000	0.003553
0.040000	0.610000	0.000024	0.612731	0.610000	0.000002	0.612731	0.000000	0.000000	0.006315
0.050000	0.610000	0.000037	0.612731	0.610000	0.000004	0.612731	0.000000	0.000000	0.009866
0.060000	0.610000	0.000053	0.612731	0.610000	0.000007	0.612732	0.000000	0.000000	0.014205
0.070000	0.610000	0.000073	0.612731	0.610000	0.000011	0.612733	0.000000	0.000000	0.019332
0.080000	0.610000	0.000095	0.612731	0.610000	0.000016	0.612734	0.000000	0.000000	0.025245
0.090000	0.610000	0.000120	0.612731	0.610000	0.000023	0.612736	0.000000	0.000000	0.031943
0.100000	0.610000	0.000148	0.612731	0.610000	0.000031	0.612739	0.000000	0.000000	0.039426
0.110000	0.610000	0.000179	0.612731	0.610000	0.000041	0.612742	0.000000	0.000000	0.047693
0.120000	0.610000	0.000213	0.612731	0.610000	0.000053	0.612746	0.000000	0.000000	0.056741
0.130000	0.610000	0.000250	0.612731	0.610001	0.000067	0.612751	0.000000	0.000000	0.066570
0.140000	0.610000	0.000290	0.612731	0.610001	0.000083	0.612757	0.000000	0.000000	0.077178
0.150000	0.610000	0.000333	0.612731	0.610001	0.000101	0.612764	0.000000	0.000000	0.088564
0.160000	0.610000	0.000379	0.612731	0.610001	0.000121	0.612773	0.000000	0.000000	0.100725
0.170000	0.610000	0.000427	0.612731	0.610002	0.000143	0.612782	0.000000	0.000000	0.113659
0.180000	0.610000	0.000479	0.612731	0.610002	0.000167	0.612794	0.000000	0.000000	0.127366
0.190000	0.610000	0.000534	0.612731	0.610002	0.000194	0.612806	0.000000	0.000000	0.141841
0.200000	0.610000	0.000591	0.612731	0.610003	0.000224	0.612821	0.000000	0.000000	0.157084
0.210000	0.610000	0.000652	0.612731	0.610003	0.000256	0.612837	0.000000	0.000000	0.173092
0.220000	0.610000	0.000715	0.612731	0.610004	0.000290	0.612854	0.000000	0.000000	0.189862
0.230000	0.610000	0.000782	0.612731	0.610004	0.000327	0.612874	0.000000	0.000000	0.207391
0.240000	0.610000	0.000851	0.612731	0.610005	0.000366	0.612895	0.000000	0.000000	0.225677
0.250000	0.610000	0.000923	0.612731	0.610006	0.000409	0.612918	0.000000	0.000000	0.244717
0.260000	0.610000	0.000999	0.612731	0.610006	0.000453	0.612944	0.000000	0.000000	0.264508
0.270000	0.610000	0.001077	0.612731	0.610007	0.000501	0.612971	0.000000	0.000000	0.285047
0.280000	0.610000	0.001158	0.612731	0.610008	0.000551	0.613000	0.000000	0.000000	0.306331
0.290000	0.610000	0.001242	0.612731	0.610009	0.000604	0.613031	0.000000	0.000000	0.328355
0.300000	0.610000	0.001328	0.612731	0.610010	0.000660	0.613065	0.000000	0.000000	0.351118
0.310000	0.610000	0.001418	0.612731	0.610011	0.000719	0.613100	0.000000	0.000000	0.374614
0.320000	0.610000	0.001511	0.612731	0.610011	0.000780	0.613138	0.000000	0.000000	0.398841
0.330000	0.610000	0.001606	0.612731	0.610012	0.000844	0.613178	0.000000	0.000000	0.423794
0.340000	0.610000	0.001705	0.612731	0.610013	0.000911	0.613220	0.000000	0.000000	0.449470
0.350000	0.610000	0.001806	0.612731	0.610014	0.000981	0.613264	0.000000	0.000000	0.475865
0.360000	0.610000	0.001910	0.612731	0.610015	0.001054	0.613310	0.000000	0.000000	0.502974
0.370000	0.610000	0.002018	0.612731	0.610016	0.001130	0.613358	0.000000	0.000000	0.530793
0.380000	0.610000	0.002128	0.612731	0.610017	0.001208	0.613409	0.000000	0.000000	0.559318
0.390000	0.610000	0.002241	0.612731	0.610018	0.001289	0.613461	0.000000	0.000000	0.588544
0.400000	0.610000	0.002356	0.612731	0.610019	0.001374	0.613516	0.000000	0.000000	0.618467
0.410000	0.610000	0.002475	0.612731	0.610020	0.001461	0.613573	0.000000	0.000000	0.649081
0.420000	0.610000	0.002596	0.612731	0.610021	0.001551	0.613632	0.000000	0.000000	0.680383
0.430000	0.610000	0.002721	0.612731	0.610022	0.001644	0.613693	0.000000	0.000000	0.712367
0.440000	0.610000	0.002848	0.612731	0.610023	0.001740	0.613756	0.000000	0.000000	0.745028
0.450000	0.610000	0.002978	0.612731	0.610024	0.001838	0.613821	0.000000	0.000000	0.778360
0.460000	0.610000	0.003111	0.612731	0.610025	0.001940	0.613888	0.000000	0.000000	0.812360
0.470000	0.610000	0.003247	0.612731	0.610026	0.002045	0.613957	0.000000	0.000000	0.847021
0.480000	0.610000	0.003385	0.612731	0.610027	0.002152	0.614028	0.000000	0.000000	0.882337
0.490000	0.610000	0.003527	0.612731	0.610028	0.002262	0.614100	0.000000	0.000000	0.918304
0.500000	0.610000	0.003671	0.612731	0.610029	0.002376	0.614175	0.000000	0.000000	0.954915
0.510000	0.610000	0.003818	0.612731	0.610030	0.002492	0.614252	0.000000	0.000000	0.992165
0.520000	0.610000	0.003968	0.612731	0.610031	0.002611	0.614330	0.000000	0.000000	1.030048
0.530000	0.610000	0.004120	0.612731	0.610032	0.002733	0.614411	0.000000	0.000000	1.068558
0.540000	0.610000	0.004276	0.612731	0.610032	0.002858	0.614493	0.000000	0.000000	1.107688
